collection,key
lodging_type,G
lodging_type,A
destination,1138
destination,1401
destination,1595
destination,1711
neighborhood,10015
neighborhood,10046
neighborhood,10287
property,10084
property,100785
property,100093
lodging_type,T
lodging_type,1
lodging_type,6
destination,1138
destination,1
destination,1021
destination,1338
destination,1018
destination,1173
destination,100
destination,1014
neighborhood,10047
neighborhood,10000
neighborhood,10477
neighborhood,10656
property,100321
property,100062
property,100286
property,100316
property,100192
property,100135
lodging_type,2
lodging_type,G
lodging_type,4
destination,1183
destination,1064
destination,1095
neighborhood,10412
neighborhood,10319
neighborhood,10842
property,10055
property,10023
property,100325
property,100316
property,100006
property,10013
property,100594
property,100176
property,100126
lodging_type,3
lodging_type,2
lodging_type,1
destination,183
destination,1465
destination,1153
destination,1129
destination,1000
destination,1739
neighborhood,10732
neighborhood,10040
neighborhood,10379
neighborhood,10753
property,100879
property,100017
property,100079
property,100070
property,100286
property,100489
property,100032
property,100810
property,100364
property,100039
lodging_type,3
lodging_type,1
lodging_type,C
lodging_type,O
lodging_type,8
lodging_type,H
destination,1888
destination,101
destination,1070
destination,1098
neighborhood,1069
neighborhood,10095
property,100622
property,100180
lodging_type,1
lodging_type,G
lodging_type,R
lodging_type,C
destination,1051
destination,10
destination,1664
destination,1008
destination,1430
destination,105
destination,1313
destination,1817
destination,1320
neighborhood,10038
neighborhood,1008
neighborhood,10012
neighborhood,10638
neighborhood,1000
neighborhood,100
property,10004
property,100009
property,100165
lodging_type,G
lodging_type,7
lodging_type,A
lodging_type,B
destination,1
destination,108
destination,1084
destination,187
destination,1123
destination,11
neighborhood,10028
neighborhood,1
neighborhood,10807
neighborhood,10000
neighborhood,10661
neighborhood,10789
neighborhood,10803
neighborhood,10188
neighborhood,10111
neighborhood,10280
property,100671
property,100296
property,100729
property,10045
property,100723
lodging_type,1
lodging_type,A
lodging_type,H
destination,1146
destination,1838
destination,1416
destination,1855
destination,1380
neighborhood,1007
neighborhood,10094
neighborhood,1087
property,100696
property,100116
property,100869
property,100663
property,100194
lodging_type,2
lodging_type,1
lodging_type,4
lodging_type,8
destination,1512
destination,1851
destination,1609
destination,1517
destination,1359
destination,1000
neighborhood,10730
neighborhood,10181
neighborhood,10054
neighborhood,10058
neighborhood,10053
property,100623
property,100141
property,1
property,100537
property,100117
lodging_type,2
lodging_type,5
lodging_type,R
lodging_type,8
destination,1003
destination,133
destination,1002
destination,1052
destination,1540
destination,1504
destination,1849
neighborhood,10141
neighborhood,10582
neighborhood,10738
property,100004
property,100551
property,100208
property,100312
property,100337
property,100007
property,100042
property,100834
property,100046
property,100047
property,1000
lodging_type,3
lodging_type,B
destination,1237
destination,113
destination,1430
destination,1278
destination,1102
destination,1163
destination,1165
neighborhood,10296
neighborhood,10
neighborhood,1001
neighborhood,10381
neighborhood,10410
neighborhood,1059
neighborhood,1000
property,100001
property,100796
lodging_type,5
lodging_type,O
lodging_type,8
destination,1307
destination,1033
destination,1184
destination,1856
neighborhood,10616
neighborhood,10047
neighborhood,10560
neighborhood,10279
property,100548
property,10027
property,100308
property,100677
property,100021
property,10061
property,100173
property,100570
lodging_type,3
lodging_type,1
lodging_type,G
lodging_type,6
destination,1166
destination,1502
destination,1064
destination,1611
destination,1242
destination,1400
neighborhood,10069
neighborhood,10063
property,100012
property,100030
property,100640
property,100721
lodging_type,2
lodging_type,1
lodging_type,O
destination,1017
destination,1012
destination,1499
neighborhood,10178
neighborhood,10481
property,10001
property,100713
property,100554
property,100001
property,100568
property,100205
lodging_type,1
lodging_type,6
lodging_type,R
lodging_type,C
destination,153
destination,1007
destination,100
neighborhood,10002
neighborhood,10721
neighborhood,10350
neighborhood,10169
property,100119
property,100829
property,100707
property,10007
property,100067
lodging_type,3
lodging_type,1
lodging_type,5
lodging_type,B
lodging_type,O
destination,1168
destination,1512
destination,1043
destination,108
destination,1301
destination,1603
neighborhood,10896
neighborhood,10217
neighborhood,10013
neighborhood,10009
neighborhood,10112
property,100296
property,100046
property,100224
property,100127
lodging_type,7
lodging_type,B
lodging_type,5
lodging_type,R
destination,1341
destination,1485
destination,1183
destination,1007
destination,1366
destination,1107
destination,1077
destination,1772
destination,1562
neighborhood,10629
neighborhood,10377
neighborhood,10099
property,100220
property,100218
property,100593
property,100428
property,100184
property,100615
lodging_type,3
lodging_type,T
lodging_type,1
lodging_type,6
lodging_type,5
destination,1319
destination,1008
destination,1287
destination,1027
neighborhood,10336
neighborhood,10836
neighborhood,10012
neighborhood,10195
neighborhood,10596
neighborhood,10176
neighborhood,10452
neighborhood,1015
neighborhood,10167
property,100449
property,100070
property,100023
property,100319
property,100599
property,100
lodging_type,6
lodging_type,5
destination,1003
destination,1132
destination,1007
destination,1760
destination,1750
destination,107
destination,1019
destination,1114
destination,1250
neighborhood,10170
property,100420
property,100576
property,100101
property,100010
property,100128
property,100
property,100894
lodging_type,3
lodging_type,1
destination,1724
destination,1194
destination,1010
neighborhood,10422
neighborhood,10161
neighborhood,10118
neighborhood,1
neighborhood,1007
neighborhood,10006
neighborhood,102
neighborhood,1000
property,100636
property,100019
property,100579
property,100161
lodging_type,3
lodging_type,2
lodging_type,T
lodging_type,1
lodging_type,A
lodging_type,6
lodging_type,5
lodging_type,4
lodging_type,8
neighborhood,10514
neighborhood,10513
neighborhood,10157
neighborhood,10127
neighborhood,1000
property,100166
property,100028
property,100516
property,100033
property,100543
lodging_type,2
lodging_type,A
lodging_type,5
lodging_type,8
destination,1110
destination,1512
destination,1022
destination,1041
destination,1886
destination,1111
destination,1039
neighborhood,10036
neighborhood,10149
property,100153
property,100140
property,100190
property,100050
property,100001
property,100124
property,100206
lodging_type,1
lodging_type,7
lodging_type,B
destination,1
destination,1328
destination,1518
neighborhood,1001
